Test ID,Test Name,Algorithm Name,numberOfPointsPerSegment,Catch Polynomial Degree,Time Interval[Sec],Segment Size[Sec],Tmin Factor,Number Of Input Points,Number Of Iterations,TOLd[Km],TOLt[Sec],Run Time[Sec],Run Time[Micro],Avg Run Time[Micro],Min Run Time[Micro],TCA Distance[Km],TCA[Sec],Real TCA Distance[Km],Real TCA[Sec],Error Time[Sec],Error Distance[Km],Number of Points Used,FullTolReached,ToldReached,ToldReached,NoRootsFound
35,,SBO ANCAS,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.170818999999999998617994378947,170819.000000000000000000000000000000,170819.000000000000000000000000000000,170819.000000000000000000000000000000,485.827576568969391246355371549726,386440.651429682737216353416442871094,485.827576568822053104668157175183,386440.651400579547043889760971069336,0.000029103190172463655471801758,0.000000000147338141687214374542,4654,75,365,365,884
36,,CATCH,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.617840999999999973546493947651,617841.000000000000000000000000000000,617841.000000000000000000000000000000,617841.000000000000000000000000000000,485.827576582080837397370487451553,386440.651431827922351658344268798828,485.827576568822053104668157175183,386440.651400579547043889760971069336,0.000031248375307768583297729492,0.000000013258784292702330276370,2881,0,0,0,0
37,,ANCAS,16,15,604800.000000000000000000000000000000,3125.164166067282167205121368169785,2,2896,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.025416000000000001091127188602,25416.000000000000000000000000000000,25416.000000000000000000000000000000,25416.000000000000000000000000000000,894.884685720441325429419521242380,5096.426228678300503815989941358566,894.861072223299856887024361640215,5096.617572953606213559396564960480,0.191344275305709743406623601913,0.023613497141468542395159602165,2893,0,0,0,579
38,,SBO ANCAS,16,15,604800.000000000000000000000000000000,3125.164166067282167205121368169785,2,2896,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.182664999999999994040322803812,182665.000000000000000000000000000000,182665.000000000000000000000000000000,182665.000000000000000000000000000000,894.861072223628752908552996814251,5096.617512966238791705109179019928,894.861072223299856887024361640215,5096.617572953606213559396564960480,0.000059987367421854287385940552,0.000000000328896021528635174036,4804,80,385,385,884
39,,CATCH,16,15,604800.000000000000000000000000000000,3125.164166067282167205121368169785,2,2896,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.609043000000000001037392394210,609043.000000000000000000000000000000,609043.000000000000000000000000000000,609043.000000000000000000000000000000,894.861072234118751111964229494333,5096.617505386604534578509628772736,894.861072223295877847704105079174,5096.617582953606870432849973440170,0.000077567002335854340344667435,0.000000010822873264260124415159,2896,0,0,0,0
40,,ANCAS,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.024711000000000000326183524635,24711.000000000000000000000000000000,24711.000000000000000000000000000000,24711.000000000000000000000000000000,4890.656319021293711557518690824509,145533.170554851007182151079177856445,4890.462542883564310614019632339478,145533.177952744095819070935249328613,0.007397893088636919856071472168,0.193776137729400943499058485031,2878,0,0,0,679
41,,SBO ANCAS,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.145124000000000002996713988068,145124.000000000000000000000000000000,145124.000000000000000000000000000000,145124.000000000000000000000000000000,4890.462542887802555924281477928162,145533.177463302970863878726959228516,4890.462542883564310614019632339478,145533.177952744095819070935249328613,0.000489441124955192208290100098,0.000000004238245310261845588684,4187,47,278,278,912
42,,CATCH,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.656703000000000036706637729367,656703.000000000000000000000000000000,656703.000000000000000000000000000000,656703.000000000000000000000000000000,4890.462543058429218945093452930450,145533.177441118721617385745048522949,4890.462542883564310614019632339478,145533.177952744124922901391983032227,0.000511625403305515646934509277,0.000000174864908331073820590973,2881,0,0,0,0
43,,ANCAS,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.024368000000000000770938868300,24368.000000000000000000000000000000,24368.000000000000000000000000000000,24368.000000000000000000000000000000,35422.662661613205273170024156570435,546844.915085973800159990787506103516,35423.014505854538583662360906600952,546844.920071847969666123390197753906,0.004985874169506132602691650391,0.351844241333310492336750030518,2878,0,0,0,754
44,,SBO ANCAS,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.115456000000000003069544618484,115456.000000000000000000000000000000,115456.000000000000000000000000000000,115456.000000000000000000000000000000,35423.014505856117466464638710021973,546844.919473863905295729637145996094,35423.014505854538583662360906600952,546844.920071847969666123390197753906,0.000597984064370393753051757812,0.000000001578882802277803421021,3780,33,192,192,926
